area,origem_url_padrao,tipo_detectado,destino_modulo,categoria_destino,acao,volume_estimado,observacao
Noticias,/imprensa/todas-as-noticias + /noticias-{cat}/item/{id}-{slug},K2 item list (paginado 24 paginas x 20),Noticias,por categoria/secretaria,RASPAR,~480 itens,Pegar corpo completo (nao "Leia mais"); dedup por id K2; baixar imagens inline
Fotos,/imprensa/banco-de-imagens + /fotos-da-secretaria-*,Galeria de imagens K2,Galeria (foto) + Biblioteca de Midia,por secretaria/album,RASPAR,dezenas de albuns,Re-hospedar via API multipart; dedup por checksum; alt a partir de legenda/titulo
Videos,/imprensa/videos,Galeria de videos (YouTube embed),Galeria (video/youtube),institucional,RASPAR,dezenas,Extrair youtubeId do embed; nao baixar binario
Secretarias,/secretario-* + /estrutura-* + /endereco-* + /fale-conosco-* + /fotos-* + /noticia-*,Paginas institucionais de secretaria,Secretarias,por secretaria,RASPAR,11 secretarias x 5-6 subpaginas,Consolidar as 5-6 subpaginas em 1 registro de Secretaria (estrutura/endereco/contato/fotos/noticias)
Institucional-Prefeita,/prefeita /vice-prefeito /ex-prefeitos /equipe-de-governo,Paginas institucionais,CMS Pages + Estrutura Organizacional,institucional,RASPAR,4 paginas,Prefeita/Vice -> autoridades do gabinete; ex-prefeitos -> pagina CMS (a criar template)
Institucional-Municipio,/historia /economia /demografia /simbolos-e-hinos,Paginas institucionais (texto medio),CMS Pages,institucional/municipio,RASPAR,4 paginas,Historia ~250 palavras sem imagem; criar paginas CMS (templates inexistentes hoje)
Contato,/contato,Pagina + formulario,CMS Page + Form Builder,contato,RASPAR+REIMPLEMENTAR,1 pagina,Texto/endereco migra; formulario e REIMPLEMENTADO no nosso Form Builder
Docs-AtosNormativos,/sic-atos-normativos/* (decretos leis-organica leis-ordinarias leis-complementares lai normas-internas projetos-de-leis portaria instrucoes-normativas processo-judicial),Arvore por ano -> PDFs,Cadastro de Documentos,Leis/Decretos/Portarias/Instr. Normativas/Projetos de Lei,RASPAR,centenas de PDFs,Percorrer subpaginas por ano (2017-2026); baixar PDFs -> Biblioteca de Midia; mapear taxonomia TCE-MT
Docs-Contratos,/9-contratos /contrato-e-aditivo/contrato /contrato-e-aditivo/distrato,Lista de documentos,Contratos (modulo),Contratos/Aditivos/Distratos,RASPAR,dezenas-centenas,Distrato pode virar tipo novo; vincular PDFs
Docs-SIC,/sic /sic-documentos-diversos-2 /sic-chamamento-publico /sic-conselho-municipal-2/*,Listas de documentos,Cadastro de Documentos / Conselhos,Documentos Diversos/Chamamento/Conselhos,RASPAR,dezenas,Conselho por secretaria -> modulo Conselhos
Docs-Planejamento,/sic-planejamento-orcamentario/(ppa|ldo|loa) /sic-balancetes-mensais-2 /sic-balanco-anual-2 /sic-lei-de-responsabilidade-fiscal/(rgf|rreo),PDFs contabeis,Transparencia (documentos),PPA/LDO/LOA/RGF/RREO/Balancetes/Balanco,RASPAR,dezenas de PDFs,Substituem os PDFs-modelo semeados; categoria PNTP correspondente
AudienciaPublica,/sic-audiencia-publica-2,Lista de documentos,Documentos Diversos (audiencia-publica),RASPAR,poucos,Hoje sem modulo estruturado (ver gap analysis)
GestaoPessoas,/sic-gestao-de-pessoas-2,Lista de documentos,Cadastro de Documentos,RH/Gestao de Pessoas,RASPAR,dezenas,Documentos institucionais de RH (nao a folha em si)
Ouvidoria-paginas,/sobre-a-ouvidoria /como-surgiu /perguntas-e-resposta /ouvidoria-identificada /ouvidoria-anonima,Paginas institucionais,CMS Pages (texto) + modulo Ouvidoria,ouvidoria,RASPAR+REIMPLEMENTAR,5 paginas,Texto institucional migra; o canal e o nosso modulo Ouvidoria (FSM/SLA)
SIC-paginas,/unidade-de-atendimento /perguntas-frequentes /solicitar-informacao /ultimas-solicitacoes,Paginas institucionais + sistema,CMS + modulo e-SIC,esic,RASPAR+REIMPLEMENTAR,4 paginas,Solicitar/ultimas e o nosso e-SIC; unidade/FAQ ver gap analysis
LGPD,/sobre-a-lgpd /politica-de-privacidade-lgpd /politica-de-cookies-lgpd /termo-de-uso-lgpd /conheca-o-responsavel-lgpd,Paginas institucionais,CMS + modulo LGPD,privacidade,RASPAR,5 paginas,Politicas viram CMS; self-service e o nosso modulo LGPD
PlanoDiretor,https://sites.google.com/view/plano-diretor-barao-de-melgaco,Site externo (Google Sites),CMS Page + Documentos,plano-diretor,AVALIAR,1,Externo: ou linkar ou re-hospedar conteudo/PDFs (decisao do cliente)
EXTERNO-Transparencia,https://transparencia.agilicloud.com.br/prefbaraomelgaco-mt,Sistema ERP Agili,Acesso Rapido (link externo),-,LINK,-,NAO raspar; manter link ate (se) integrarmos ETL
EXTERNO-Tributos,agiliblue.agilicloud.com.br (IPTU/Alvara/Certidao/NFe/Divida/Contribuinte),Sistema ERP Agili,Carta de Servicos (urlExterna) + Acesso Rapido,-,LINK,-,NAO raspar; cada servico vira item da Carta com link externo
EXTERNO-Holerite,portal.prefbaraodemelgaco-mt.agilicloud.com.br,Sistema Agili (servidor),Acesso Rapido (link externo restrito),-,LINK,-,NAO raspar
EXTERNO-Licitacoes,portal.prefbaraodemelgaco-mt.agilicloud.com.br/Cidadao/ConsultaLicitacoes.aspx,Sistema Agili,Licitacoes (link) + Acesso Rapido,-,LINK,-,NAO raspar (temos modulo proprio se quiserem migrar)
EXTERNO-CartaServico,https://gws-sistemas.com.br/cartadeservico.pm.baraodemelgaco,Sistema GWS,Carta de Servicos (link/migracao),-,LINK,-,NAO raspar; podemos substituir pelo nosso modulo de Carta de Servicos
EXTERNO-Legislacao,https://leismunicipais.com.br/prefeitura/mt/baraodemelgaco,Acervo externo,Documentos (Leis) / link,-,LINK,-,NAO raspar; opcional ingerir acervo no futuro
EXTERNO-Previ,consultatransparencia.com.br + agendadatacenter.com.br,RPPS (outra entidade),Acesso Rapido (link externo),-,LINK,-,Entidade separada; fora de escopo
EXTERNO-Institucionais,al.mt.gov.br tce.mt.gov.br tre-mt.jus.br congressonacional.leg.br ucmmat.org atricon.org.br eb.mil.br facebook.com,Links institucionais,Acesso Rapido / Rodape (links),-,LINK,-,Manter como links uteis
Webmail,/webmail,Link de e-mail,N/A,-,IGNORAR,-,Decisao de webmail e a parte
